CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,HasCrCard_WasMissing,IsActiveMember_WasMissing,Geography_WasMissing,Gender_WasMissing,Balance_to_Salary_Ratio,Credit_to_Age_Ratio,Products_per_Tenure,Geography_Germany,Geography_Spain,Gender_Male,Age_Group_Early Career (26-35),Age_Group_Mid Career (36-45),Age_Group_Senior (46-55),Age_Group_Elderly (56+),Credit_Score_Category_Fair (580-669),Credit_Score_Category_Good (670-739),Credit_Score_Category_Excellent (740-850),Balance_Category_Low Balance (1-50k),Balance_Category_Medium Balance (50k-100k),Balance_Category_High Balance (100k+),Tenure_Group_Early (3-5),Tenure_Group_Established (6-7),Tenure_Group_Long-term (8-10),Active_Card_Holder_Active Non-Card Holder,Active_Card_Holder_Inactive Card Holder,Active_Card_Holder_Inactive Non-Card Holder,Geo_Gender_Encoded,Geo_Gender_Credit_Encoded
-0.2462686567164179,0.46619225778483275,-0.75,-0.7614585566038564,0.0,0.0,0.0,0.011825621473558005,1,-0.009999500037496875,-0.009999500037496875,-0.009999500037496875,0.0,-1.1316027148684857,-0.3709347272862024,0.3783471465449273,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-0.5,-0.5454545454545454
-0.3283582089552239,0.3765221645238552,-1.0,-0.10490330271158531,0.0,-1.0,0.0,0.1255828480114603,0,-0.009999500037496875,-0.009999500037496875,-0.009999500037496875,0.0,0.09614085838722788,-0.35765988066460963,0.942733031627932,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,1.5,0.9090909090909091
-1.1194029850746268,0.46619225778483275,0.75,0.4893326827935356,2.0,0.0,-1.0,0.13969861403063907,1,-0.009999500037496875,-0.009999500037496875,-0.009999500037496875,0.0,0.6373517488667033,-0.7765362515150402,0.3783471465449273,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,-0.5,-0.36363636363636365
0.35074626865671643,0.18677214291737237,-1.0,-0.7614585566038564,1.0,-1.0,-1.0,-0.06462008435425011,0,-0.009999500037496875,-0.009999500037496875,-0.009999500037496875,0.0,-1.1316027148684857,0.09280034869095258,1.6767850459492886,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-0.5,-0.45454545454545453
1.4776119402985075,0.552820542437651,-0.75,0.22179991451480888,0.0,0.0,0.0,-0.21444269215612266,0,100.00499987500626,-0.009999500037496875,-0.009999500037496875,0.0,0.7424571313989438,0.3613408927994092,0.3783471465449273,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1.5,0.8181818181818182
-0.05223880597014925,0.6366710340027372,0.75,0.12971030297104902,1.0,0.0,-1.0,0.5037756007939134,1,-0.009999500037496875,-0.009999500037496875,-0.009999500037496875,0.0,0.11278606584112562,-0.38243780079406847,-0.2811536726844554,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,2.0,1.2727272727272727
1.2686567164179106,1.0924483477010003,0.5,-0.7614585566038564,1.0,0.0,0.0,-0.9158793627869701,0,-0.009999500037496875,-0.009999500037496875,100.00499987500626,0.0,-1.1316027148684857,-0.12313646264905458,-0.0812277363596342,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,-0.2727272727272727
-2.0597014925373136,-1.0403110406927887,-0.25,0.1398237525993389,3.0,0.0,-1.0,0.19473230677235695,1,-0.009999500037496875,-0.009999500037496875,-0.009999500037496875,0.0,0.31571612435853696,-0.6290230536916576,1.470763802939391,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,0.5,0.36363636363636365
-1.126865671641791,0.6366710340027372,-0.25,0.35137711691792045,1.0,-1.0,0.0,-0.25655248997833097,0,-0.009999500037496875,100.00499987500626,-0.009999500037496875,0.0,0.8889628607228647,-0.8589486824107275,0.644656149874568,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,0.0,0.0
0.23880597014925373,-0.019630589066329786,-0.75,0.2930354324836205,0.0,0.0,0.0,-0.2892229491792433,0,-0.009999500037496875,-0.009999500037496875,-0.009999500037496875,0.0,0.8808428210223717,0.0,0.3783471465449273,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,-0.09090909090909091
