CreditScore,Age,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,HasCrCard_WasMissing,IsActiveMember_WasMissing,Geography_WasMissing,Gender_WasMissing,Products_per_Tenure,Geography_Germany,Geography_Spain,Gender_Male,Age_Group_Early Career (26-35),Age_Group_Mid Career (36-45),Age_Group_Senior (46-55),Age_Group_Elderly (56+),Credit_Score_Category_Fair (580-669),Credit_Score_Category_Good (670-739),Credit_Score_Category_Excellent (740-850),Balance_Category_Low Balance (1-50k),Balance_Category_Medium Balance (50k-100k),Balance_Category_High Balance (100k+),Tenure_Group_Early (3-5),Tenure_Group_Established (6-7),Tenure_Group_Long-term (8-10),Active_Card_Holder_Active Non-Card Holder,Active_Card_Holder_Inactive Card Holder,Active_Card_Holder_Inactive Non-Card Holder,Geo_Gender_Credit_Encoded
-0.2462686567164179,0.4661922577848327,-0.7614585566038564,0.0,0.0,0.0,0.011825621473558,1,-0.0099995000374968,-0.0099995000374968,-0.0099995000374968,0.0,0.3783471465449273,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-0.5454545454545454
-0.3283582089552239,0.3765221645238552,-0.1049033027115853,0.0,-1.0,0.0,0.1255828480114603,0,-0.0099995000374968,-0.0099995000374968,-0.0099995000374968,0.0,0.942733031627932,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0.9090909090909092
-1.1194029850746268,0.4661922577848327,0.4893326827935356,2.0,0.0,-1.0,0.139698614030639,1,-0.0099995000374968,-0.0099995000374968,-0.0099995000374968,0.0,0.3783471465449273,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,-0.3636363636363636
0.3507462686567164,0.1867721429173723,-0.7614585566038564,1.0,-1.0,-1.0,-0.0646200843542501,0,-0.0099995000374968,-0.0099995000374968,-0.0099995000374968,0.0,1.6767850459492886,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-0.4545454545454545
1.4776119402985075,0.552820542437651,0.2217999145148088,0.0,0.0,0.0,-0.2144426921561226,0,100.00499987500626,-0.0099995000374968,-0.0099995000374968,0.0,0.3783471465449273,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.8181818181818182
-0.0522388059701492,0.6366710340027372,0.129710302971049,1.0,0.0,-1.0,0.5037756007939134,1,-0.0099995000374968,-0.0099995000374968,-0.0099995000374968,0.0,-0.2811536726844554,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,1.2727272727272727
1.2686567164179106,1.0924483477010003,-0.7614585566038564,1.0,0.0,0.0,-0.91587936278697,0,-0.0099995000374968,-0.0099995000374968,100.00499987500626,0.0,-0.0812277363596342,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,-0.2727272727272727
-2.0597014925373136,-1.040311040692789,0.1398237525993389,3.0,0.0,-1.0,0.1947323067723569,1,-0.0099995000374968,-0.0099995000374968,-0.0099995000374968,0.0,1.470763802939391,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,0.3636363636363636
-1.126865671641791,0.6366710340027372,0.3513771169179204,1.0,-1.0,0.0,-0.2565524899783309,0,-0.0099995000374968,100.00499987500626,-0.0099995000374968,0.0,0.644656149874568,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,0.0
0.2388059701492537,-0.0196305890663297,0.2930354324836205,0.0,0.0,0.0,-0.2892229491792433,0,-0.0099995000374968,-0.0099995000374968,-0.0099995000374968,0.0,0.3783471465449273,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,-0.0909090909090909
